,EIN,tax_period,tot_assets,tot_income,tot_revenue,pct_compnsatncurrofcr,tax_year,totassetsend,totliabend,totfuncexpns
0,813311094,2019-12-01,0.0,0.0,0.0,,,,,
1,263016871,2018-12-01,0.0,0.0,0.0,,,,,
2,833139772,2019-12-01,1280.0,26521.0,26521.0,,,,,
3,462541609,2018-12-01,12908.0,53745.0,50416.0,-0.001,2017.0,7598.0,6000.0,65239.0
4,462541609,2018-12-01,12908.0,53745.0,50416.0,-0.001,2015.0,50904.0,0.0,91185.0
5,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2018.0,2069154.0,2048030.0,4426594.0
6,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2017.0,1139309.0,814771.0,4098622.0
7,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2016.0,1410507.0,874126.0,3661733.0
8,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2015.0,1106699.0,710240.0,3112288.0
9,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2014.0,1281230.0,935337.0,2932649.0
10,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2013.0,941879.0,1291331.0,2873119.0
11,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2012.0,1499494.0,1782346.0,4515039.0
12,840850527,2019-06-01,2438450.0,5176971.0,5047106.0,0.0,2011.0,2154609.0,1522735.0,3740291.0
13,464332937,2019-06-01,38226.0,120090.0,120090.0,-0.001,2015.0,3481.0,0.0,14009.0
14,453361602,2019-06-01,0.0,0.0,0.0,-0.001,2012.0,4132.0,0.0,580.0
15,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2017.0,44438.0,196861.0,912034.0
16,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2016.0,199252.0,251445.0,939186.0
17,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2015.0,244003.0,211312.0,862065.0
18,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2014.0,72650.0,149118.0,786092.0
19,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2013.0,52524.0,135600.0,700999.0
20,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2012.0,31682.0,122183.0,762858.0
21,222519789,2019-09-01,80931.0,864842.0,861842.0,0.0,2011.0,82809.0,97643.0,705805.0
